ODE,Epsilon,N,Mesh,Method,Max Error
ODE 1,1e-05,512,bakhvalov,backward,1.0025665690229455
ODE 1,1e-06,8,uniform,central,15624.875013999883
ODE 1,1e-06,8,uniform,forward,3.9999840000639995e-06
ODE 1,1e-06,8,uniform,backward,1.0000040000160009
ODE 1,1e-06,8,shishkin,central,0.04452484094953657
ODE 1,1e-06,8,shishkin,forward,0.16454969717355433
ODE 1,1e-06,8,shishkin,backward,1.0000020000121488
ODE 1,1e-06,8,bakhvalov,central,0.010750319130291064
ODE 1,1e-06,8,bakhvalov,forward,0.12055003967275635
ODE 1,1e-06,8,bakhvalov,backward,0.9997558576269512
ODE 1,1e-06,16,uniform,central,3906.187569998878
ODE 1,1e-06,16,uniform,forward,7.999936000511995e-06
ODE 1,1e-06,16,uniform,backward,1.0000080000640004
ODE 1,1e-06,16,shishkin,central,0.016888572746388858
ODE 1,1e-06,16,shishkin,forward,0.10832795576083248
ODE 1,1e-06,16,shishkin,backward,1.0000040000289596
ODE 1,1e-06,16,bakhvalov,central,0.0026271460100988075
ODE 1,1e-06,16,bakhvalov,forward,0.06442405857292222
ODE 1,1e-06,16,bakhvalov,backward,0.9999846689388557
ODE 1,1e-06,32,uniform,central,976.5315599900548
ODE 1,1e-06,32,uniform,forward,1.5999744004095932e-05
ODE 1,1e-06,32,uniform,backward,1.000016000256004
ODE 1,1e-06,32,shishkin,central,0.006334180583837834
ODE 1,1e-06,32,shishkin,forward,0.06912528550768166
ODE 1,1e-06,32,shishkin,backward,1.000008000083417
ODE 1,1e-06,32,bakhvalov,central,0.0006557641225872213
ODE 1,1e-06,32,bakhvalov,forward,0.03361270994197019
ODE 1,1e-06,32,bakhvalov,backward,1.0000310017450627
ODE 1,1e-06,64,uniform,central,244.12630191515254
ODE 1,1e-06,64,uniform,forward,3.1998976032766945e-05
ODE 1,1e-06,64,uniform,backward,1.000032001024019
ODE 1,1e-06,64,shishkin,central,0.002235486910722617
ODE 1,1e-06,64,shishkin,forward,0.0436560865461581
ODE 1,1e-06,64,shishkin,backward,1.0000160003395984
ODE 1,1e-06,64,bakhvalov,central,0.00017245839088031456
ODE 1,1e-06,64,bakhvalov,forward,0.017195728555863432
ODE 1,1e-06,64,bakhvalov,backward,1.000032000853749
ODE 1,1e-06,128,uniform,central,61.03267696964565
ODE 1,1e-06,128,uniform,forward,6.399590426212723e-05
ODE 1,1e-06,128,uniform,backward,1.0000640040962763
ODE 1,1e-06,128,shishkin,central,0.0007441556643135172
ODE 1,1e-06,128,shishkin,forward,0.02633462975460371
ODE 1,1e-06,128,shishkin,backward,1.000032001093135
ODE 1,1e-06,128,bakhvalov,central,3.447372115605862e-05
ODE 1,1e-06,128,bakhvalov,forward,0.008696158694919742
ODE 1,1e-06,128,bakhvalov,backward,1.0000640038135051
ODE 1,1e-06,256,uniform,central,15.27646103650963
ODE 1,1e-06,256,uniform,forward,0.0001279836180968836
ODE 1,1e-06,256,uniform,backward,1.0001280163860973
ODE 1,1e-06,256,shishkin,central,0.00023963263907528232
ODE 1,1e-06,256,shishkin,forward,0.015401528269572418
ODE 1,1e-06,256,shishkin,backward,1.0000640020987859
ODE 1,1e-06,256,bakhvalov,central,1.3047193349843462e-05
ODE 1,1e-06,256,bakhvalov,forward,0.004375110342746069
ODE 1,1e-06,256,bakhvalov,backward,1.0001280162705068
ODE 1,1e-06,512,uniform,central,3.8991721791327003
ODE 1,1e-06,512,uniform,forward,0.0002559344807729221
ODE 1,1e-06,512,uniform,backward,1.0002560655527817
ODE 1,1e-06,512,shishkin,central,7.495571756782615e-05
ODE 1,1e-06,512,shishkin,forward,0.00879022165646487
ODE 1,1e-06,512,shishkin,backward,1.0001280808566737
ODE 1,1e-06,512,bakhvalov,central,1.308008405810068e-05
ODE 1,1e-06,512,bakhvalov,forward,0.0021965439309323265
ODE 1,1e-06,512,bakhvalov,backward,1.000256066091763
ODE 1,1e-07,8,uniform,central,156249.8750014
ODE 1,1e-07,8,uniform,forward,3.99999840000064e-07
ODE 1,1e-07,8,uniform,backward,1.0000004000001599
ODE 1,1e-07,8,shishkin,central,0.04452504114236805
ODE 1,1e-07,8,shishkin,forward,0.16454989043736862
ODE 1,1e-07,8,shishkin,backward,1.000000199996058
ODE 1,1e-07,8,bakhvalov,central,0.010750319440756384
ODE 1,1e-07,8,bakhvalov,forward,0.12055005965867094
ODE 1,1e-07,8,bakhvalov,backward,0.999755859357947
ODE 1,1e-07,16,uniform,central,39062.437507
ODE 1,1e-07,16,uniform,forward,7.999993600005119e-07
ODE 1,1e-07,16,uniform,backward,1.0000008000006417
ODE 1,1e-07,16,shishkin,central,0.01688884515784786
ODE 1,1e-07,16,shishkin,forward,0.10832806988975713
ODE 1,1e-07,16,shishkin,backward,1.0000004000017024
ODE 1,1e-07,16,bakhvalov,central,0.0026271460311852457
ODE 1,1e-07,16,bakhvalov,forward,0.06442406091474762
ODE 1,1e-07,16,bakhvalov,backward,0.9999847404687898
ODE 1,1e-07,32,uniform,central,9765.593780999881
ODE 1,1e-07,32,uniform,forward,1.5999974400040958e-06
ODE 1,1e-07,32,uniform,backward,1.00000160000256
ODE 1,1e-07,32,shishkin,central,0.006334416540720533
ODE 1,1e-07,32,shishkin,forward,0.06912532823414735
ODE 1,1e-07,32,shishkin,backward,1.0000007999986542
ODE 1,1e-07,32,bakhvalov,central,0.0006557643738386298
ODE 1,1e-07,32,bakhvalov,forward,0.03361271044978592
ODE 1,1e-07,32,bakhvalov,backward,1.000003100605316
ODE 1,1e-07,64,uniform,central,2441.3907551991565
ODE 1,1e-07,64,uniform,forward,3.199989760032768e-06
ODE 1,1e-07,64,uniform,backward,1.0000032000102397
ODE 1,1e-07,64,shishkin,central,0.0022357650812098173
ODE 1,1e-07,64,shishkin,forward,0.04365609999037906
ODE 1,1e-07,64,shishkin,backward,1.0000015999787353
ODE 1,1e-07,64,bakhvalov,central,0.00017246174252047441
ODE 1,1e-07,64,bakhvalov,forward,0.017195728705778346
ODE 1,1e-07,64,bakhvalov,backward,1.0000032001377976
ODE 1,1e-07,128,uniform,central,610.3442833930729
ODE 1,1e-07,128,uniform,forward,6.3999590402621425e-06
ODE 1,1e-07,128,uniform,backward,1.00000640004096
ODE 1,1e-07,128,shishkin,central,0.0007444435826963747
ODE 1,1e-07,128,shishkin,forward,0.02633463471438774
ODE 1,1e-07,128,shishkin,backward,1.000003200558878
ODE 1,1e-07,128,bakhvalov,central,3.4465278826389945e-05
ODE 1,1e-07,128,bakhvalov,forward,0.008696158738137172
ODE 1,1e-07,128,bakhvalov,backward,1.0000063999066018
ODE 1,1e-07,256,uniform,central,152.58614331347724
ODE 1,1e-07,256,uniform,forward,1.2799836162097125e-05
ODE 1,1e-07,256,uniform,backward,1.0000128001637858
ODE 1,1e-07,256,shishkin,central,0.00023991648811966249
ODE 1,1e-07,256,shishkin,forward,0.015401530167930555
ODE 1,1e-07,256,shishkin,backward,1.0000064062306435
ODE 1,1e-07,256,bakhvalov,central,1.3086303761857132e-05
ODE 1,1e-07,256,bakhvalov,forward,0.004375110361419687
ODE 1,1e-07,256,bakhvalov,backward,1.0000127994187964
ODE 1,1e-07,512,uniform,central,38.15370568623315
ODE 1,1e-07,512,uniform,forward,2.559934465677679e-05
ODE 1,1e-07,512,uniform,backward,1.0000256006554333
ODE 1,1e-07,512,shishkin,central,7.522348840161008e-05
ODE 1,1e-07,512,shishkin,forward,0.008790222437999595
ODE 1,1e-07,512,shishkin,backward,1.0000127889289017
ODE 1,1e-07,512,bakhvalov,central,1.323059192067351e-05
ODE 1,1e-07,512,bakhvalov,forward,0.0021965439438916823
ODE 1,1e-07,512,bakhvalov,backward,1.0000256003161803
