ODE,Epsilon,N,Mesh,Method,Max Error
ODE 2,0.0001,32,uniform,backward,600.8227141439093
ODE 2,0.0001,32,uniform,upwind,0.0015974440894568692
ODE 2,0.0001,32,shishkin,central,0.21863990193397306
ODE 2,0.0001,32,shishkin,forward,1099.3892383346267
ODE 2,0.0001,32,shishkin,backward,1099.3892383350983
ODE 2,0.0001,32,shishkin,upwind,0.18927077621750463
ODE 2,0.0001,32,bakhvalov,central,0.24798018310962155
ODE 2,0.0001,32,bakhvalov,forward,1099.6828535538018
ODE 2,0.0001,32,bakhvalov,backward,1099.6828535525722
ODE 2,0.0001,32,bakhvalov,upwind,0.10194057981009141
ODE 2,0.0001,64,uniform,central,0.9143726047590603
ODE 2,0.0001,64,uniform,forward,332.30741728349864
ODE 2,0.0001,64,uniform,backward,332.3074172834985
ODE 2,0.0001,64,uniform,upwind,0.0031897926634768745
ODE 2,0.0001,64,shishkin,central,0.23377724550257273
ODE 2,0.0001,64,shishkin,forward,0.3931851699237867
ODE 2,0.0001,64,shishkin,backward,0.39318516992316155
ODE 2,0.0001,64,shishkin,upwind,0.13669568418826672
ODE 2,0.0001,64,bakhvalov,central,0.24939368937026968
ODE 2,0.0001,64,bakhvalov,forward,667.7943307346985
ODE 2,0.0001,64,bakhvalov,backward,667.7943307448269
ODE 2,0.0001,64,bakhvalov,upwind,0.052627859356419726
ODE 2,0.0001,128,uniform,central,0.9202360965531359
ODE 2,0.0001,128,uniform,forward,250.41529248952045
ODE 2,0.0001,128,uniform,backward,250.4152924895204
ODE 2,0.0001,128,uniform,upwind,0.006359300476947536
ODE 2,0.0001,128,shishkin,central,0.24532255513050255
ODE 2,0.0001,128,shishkin,forward,0.15172320529317507
ODE 2,0.0001,128,shishkin,backward,0.15172320529338607
ODE 2,0.0001,128,shishkin,upwind,0.09015395206195775
ODE 2,0.0001,128,bakhvalov,central,0.24958534337363586
ODE 2,0.0001,128,bakhvalov,forward,319.22268433535385
ODE 2,0.0001,128,bakhvalov,backward,319.22268357739364
ODE 2,0.0001,128,bakhvalov,upwind,0.027780204702949007
ODE 2,0.0001,256,uniform,central,0.8881621339005429
ODE 2,0.0001,256,uniform,forward,3623.711303242342
ODE 2,0.0001,256,uniform,backward,3623.711303242325
ODE 2,0.0001,256,uniform,upwind,0.01263823064770932
ODE 2,0.0001,256,shishkin,central,0.24906104338655244
ODE 2,0.0001,256,shishkin,forward,0.07447227095983444
ODE 2,0.0001,256,shishkin,backward,0.07447227096277698
ODE 2,0.0001,256,shishkin,upwind,0.055991094672813435
ODE 2,0.0001,256,bakhvalov,central,0.249835081721116
ODE 2,0.0001,256,bakhvalov,forward,55.642720916438726
ODE 2,0.0001,256,bakhvalov,backward,55.64272081816506
ODE 2,0.0001,256,bakhvalov,upwind,0.014312007295816997
ODE 2,0.0001,512,uniform,central,0.8075133878710653
ODE 2,0.0001,512,uniform,forward,62024625.64973309
ODE 2,0.0001,512,uniform,backward,62024625.63526782
ODE 2,0.0001,512,uniform,upwind,0.02496099843993759
ODE 2,0.0001,512,shishkin,central,0.2496279922692622
ODE 2,0.0001,512,shishkin,forward,0.19966700103200638
ODE 2,0.0001,512,shishkin,backward,0.19966708339467487
ODE 2,0.0001,512,shishkin,upwind,0.03314963113706498
ODE 2,0.0001,512,bakhvalov,central,0.24992274294471678
ODE 2,0.0001,512,bakhvalov,forward,77.10464162263783
ODE 2,0.0001,512,bakhvalov,backward,77.1046411183648
ODE 2,0.0001,512,bakhvalov,upwind,0.007228791430609949
ODE 2,1e-05,8,uniform,central,0.5622912815542184
ODE 2,1e-05,8,uniform,forward,18753.499519783647
ODE 2,1e-05,8,uniform,backward,18753.49951978365
