ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,0.0001,64,bakhvalov,central,0.3736654191073112
ODE 3,0.0001,64,bakhvalov,forward,1.0064699742371674
ODE 3,0.0001,64,bakhvalov,backward,1.0083748415820977
ODE 3,0.0001,64,bakhvalov,upwind,0.04192919094566172
ODE 3,0.0001,128,uniform,central,0.01887210496259062
ODE 3,0.0001,128,uniform,forward,1.0266892539416899
ODE 3,0.0001,128,uniform,backward,1.0266892539416874
ODE 3,0.0001,128,uniform,upwind,0.04303790469577662
ODE 3,0.0001,128,shishkin,central,0.10227207925553172
ODE 3,0.0001,128,shishkin,forward,1.012998550604025
ODE 3,0.0001,128,shishkin,backward,1.0134093517647194
ODE 3,0.0001,128,shishkin,upwind,0.07081508335206321
ODE 3,0.0001,128,bakhvalov,central,0.10421430665217923
ODE 3,0.0001,128,bakhvalov,forward,1.0129802001550623
ODE 3,0.0001,128,bakhvalov,backward,1.0129784231034817
ODE 3,0.0001,128,bakhvalov,upwind,0.07128278461680071
ODE 3,0.0001,256,uniform,central,0.0048548127958373405
ODE 3,0.0001,256,uniform,forward,1.0543874579131685
ODE 3,0.0001,256,uniform,backward,1.054387458402923
ODE 3,0.0001,256,uniform,upwind,0.026413792144696857
ODE 3,0.0001,256,shishkin,central,0.017781821882927762
ODE 3,0.0001,256,shishkin,forward,1.0263270323000104
ODE 3,0.0001,256,shishkin,backward,1.0267492007260413
ODE 3,0.0001,256,shishkin,upwind,0.04315626015168994
ODE 3,0.0001,256,bakhvalov,central,0.018813103194997405
ODE 3,0.0001,256,bakhvalov,forward,1.0262813350935198
ODE 3,0.0001,256,bakhvalov,backward,1.0272259851265604
ODE 3,0.0001,256,bakhvalov,upwind,0.042888797693627634
ODE 3,0.0001,512,uniform,central,0.0011971423094513517
ODE 3,0.0001,512,uniform,forward,1.1145290154101677
ODE 3,0.0001,512,uniform,backward,0.02639445204506946
ODE 3,0.0001,512,uniform,upwind,0.014395511795097876
ODE 3,0.0001,512,shishkin,central,0.004636156381445544
ODE 3,0.0001,512,shishkin,forward,1.0540842708691855
ODE 3,0.0001,512,shishkin,backward,1.0545297719382414
ODE 3,0.0001,512,shishkin,upwind,0.02678212187772888
ODE 3,0.0001,512,bakhvalov,central,0.00479879384954085
ODE 3,0.0001,512,bakhvalov,forward,1.0539713734232727
ODE 3,0.0001,512,bakhvalov,backward,1.0549198294615418
ODE 3,0.0001,512,bakhvalov,upwind,0.02675839329849783
ODE 3,1e-05,8,uniform,central,146.28133490239645
ODE 3,1e-05,8,uniform,forward,1.0002133561497137
ODE 3,1e-05,8,uniform,backward,1.0002133561497135
ODE 3,1e-05,8,uniform,upwind,0.0003196931164209852
ODE 3,1e-05,8,shishkin,central,0.005162292699837812
ODE 3,1e-05,8,shishkin,forward,0.5928812535068295
ODE 3,1e-05,8,shishkin,backward,0.5927985583455438
ODE 3,1e-05,8,shishkin,upwind,0.005166825911567141
ODE 3,1e-05,8,bakhvalov,central,0.6183015438017713
ODE 3,1e-05,8,bakhvalov,forward,0.007822380459746592
ODE 3,1e-05,8,bakhvalov,backward,0.9961855957712532
ODE 3,1e-05,8,bakhvalov,upwind,0.12115082105456837
ODE 3,1e-05,16,uniform,central,28.960794484253896
